         369190 function calls (367381 primitive calls) in 1.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      208    0.725    0.003    0.725    0.003 {method 'read' of '_ssl._SSLSocket' objects}
     9979    0.037    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:343(raw_decode)
        1    0.032    0.032    0.032    0.032 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.028    0.028    0.028    0.028 {method 'connect' of '_socket.socket' objects}
       87    0.021    0.000    0.021    0.000 {built-in method io.open_code}
        1    0.020    0.020    0.132    0.132 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/_lxml.py:477(feed)
     9979    0.016    0.000    0.064    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:332(decode)
     1920    0.016    0.000    0.081    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/_lxml.py:312(start)
    10682    0.011    0.000    0.014    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/element.py:238(__setitem__)
     9979    0.010    0.000    0.077    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/__init__.py:299(loads)
        1    0.009    0.009    0.009    0.009 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     9979    0.009    0.000    0.009    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/fake_useragent/fake.py:243(<lambda>)
     1920    0.009    0.000    0.014    0.000 /Users/mabellec/Desktop/projects/DS1_Boot/DS_Bootcamp.Day03-1/src/ex02/mabellec/lib/python3.11/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
